Prepare: check process on cuda: 2...
Start: create dataset: [alpha: 0.75], [beta: 25.0]
Suggestion: current bsz is 16, which may be too small, we change it to 256 by default.
Load training set in 107.22 sec
Load validation set in 111.76 sec
Real: [effect: ate], [estimation: q], [value: 0.16917]
Unadjusted: [value: 0.2379]
Start training...
Finish: epoch: 1 / 500, time cost: 42.48 sec, 
              Loss: [Train: p = 1.05721, q = 1.33701], 
              Loss: [Test: p = 1.06037, q = 1.32431],
              Effect: [ate-q], [train: 0.06465], [test: 0.06465]
********************************************************************************
Finish: epoch: 2 / 500, time cost: 50.73 sec, 
              Loss: [Train: p = 1.05691, q = 1.31069], 
              Loss: [Test: p = 1.06014, q = 1.29743],
              Effect: [ate-q], [train: 0.10970], [test: 0.10972]
********************************************************************************
Finish: epoch: 3 / 500, time cost: 53.24 sec, 
              Loss: [Train: p = 1.05662, q = 1.28311], 
              Loss: [Test: p = 1.05998, q = 1.27435],
              Effect: [ate-q], [train: 0.16414], [test: 0.16417]
********************************************************************************
Finish: epoch: 4 / 500, time cost: 38.17 sec, 
              Loss: [Train: p = 1.05649, q = 1.26597], 
              Loss: [Test: p = 1.05983, q = 1.26435],
              Effect: [ate-q], [train: 0.20667], [test: 0.20670]
********************************************************************************
Finish: epoch: 5 / 500, time cost: 38.16 sec, 
              Loss: [Train: p = 1.05637, q = 1.26059], 
              Loss: [Test: p = 1.05966, q = 1.26207],
              Effect: [ate-q], [train: 0.22709], [test: 0.22713]
********************************************************************************
Finish: epoch: 6 / 500, time cost: 37.44 sec, 
              Loss: [Train: p = 1.05619, q = 1.25945], 
              Loss: [Test: p = 1.05952, q = 1.26207],
              Effect: [ate-q], [train: 0.23461], [test: 0.23465]
********************************************************************************
Finish: epoch: 7 / 500, time cost: 40.41 sec, 
              Loss: [Train: p = 1.05596, q = 1.25958], 
              Loss: [Test: p = 1.05937, q = 1.26214],
              Effect: [ate-q], [train: 0.23663], [test: 0.23666]
********************************************************************************
Finish: epoch: 8 / 500, time cost: 38.18 sec, 
              Loss: [Train: p = 1.05566, q = 1.25907], 
              Loss: [Test: p = 1.05921, q = 1.26159],
              Effect: [ate-q], [train: 0.23875], [test: 0.23878]
********************************************************************************
Finish: epoch: 9 / 500, time cost: 37.63 sec, 
              Loss: [Train: p = 1.05563, q = 1.25853], 
              Loss: [Test: p = 1.05910, q = 1.26167],
              Effect: [ate-q], [train: 0.23827], [test: 0.23830]
********************************************************************************
Finish: epoch: 10 / 500, time cost: 37.82 sec, 
              Loss: [Train: p = 1.05548, q = 1.25852], 
              Loss: [Test: p = 1.05891, q = 1.26117],
              Effect: [ate-q], [train: 0.23861], [test: 0.23863]
********************************************************************************
Finish: epoch: 11 / 500, time cost: 37.76 sec, 
              Loss: [Train: p = 1.05523, q = 1.25851], 
              Loss: [Test: p = 1.05881, q = 1.26124],
              Effect: [ate-q], [train: 0.23891], [test: 0.23893]
********************************************************************************
Finish: epoch: 12 / 500, time cost: 39.47 sec, 
              Loss: [Train: p = 1.05514, q = 1.25841], 
              Loss: [Test: p = 1.05870, q = 1.26144],
              Effect: [ate-q], [train: 0.23900], [test: 0.23902]
********************************************************************************
Finish: epoch: 13 / 500, time cost: 37.10 sec, 
              Loss: [Train: p = 1.05496, q = 1.25863], 
              Loss: [Test: p = 1.05855, q = 1.26101],
              Effect: [ate-q], [train: 0.23715], [test: 0.23717]
********************************************************************************
Finish: epoch: 14 / 500, time cost: 37.85 sec, 
              Loss: [Train: p = 1.05489, q = 1.25881], 
              Loss: [Test: p = 1.05840, q = 1.26142],
              Effect: [ate-q], [train: 0.23830], [test: 0.23831]
********************************************************************************
Finish: epoch: 15 / 500, time cost: 37.99 sec, 
              Loss: [Train: p = 1.05475, q = 1.25878], 
              Loss: [Test: p = 1.05827, q = 1.26058],
              Effect: [ate-q], [train: 0.23757], [test: 0.23757]
********************************************************************************
Finish: epoch: 16 / 500, time cost: 39.98 sec, 
              Loss: [Train: p = 1.05454, q = 1.25754], 
              Loss: [Test: p = 1.05812, q = 1.26140],
              Effect: [ate-q], [train: 0.23845], [test: 0.23845]
********************************************************************************
Finish: epoch: 17 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.05446, q = 1.25868], 
              Loss: [Test: p = 1.05801, q = 1.26110],
              Effect: [ate-q], [train: 0.23685], [test: 0.23685]
********************************************************************************
Finish: epoch: 18 / 500, time cost: 37.05 sec, 
              Loss: [Train: p = 1.05424, q = 1.25803], 
              Loss: [Test: p = 1.05786, q = 1.26129],
              Effect: [ate-q], [train: 0.23884], [test: 0.23884]
********************************************************************************
Finish: epoch: 19 / 500, time cost: 36.91 sec, 
              Loss: [Train: p = 1.05410, q = 1.25731], 
              Loss: [Test: p = 1.05776, q = 1.26117],
              Effect: [ate-q], [train: 0.23983], [test: 0.23983]
********************************************************************************
Finish: epoch: 20 / 500, time cost: 40.07 sec, 
              Loss: [Train: p = 1.05399, q = 1.25790], 
              Loss: [Test: p = 1.05758, q = 1.26079],
              Effect: [ate-q], [train: 0.23793], [test: 0.23793]
********************************************************************************
Finish: epoch: 21 / 500, time cost: 37.92 sec, 
              Loss: [Train: p = 1.05372, q = 1.25771], 
              Loss: [Test: p = 1.05748, q = 1.26083],
              Effect: [ate-q], [train: 0.23911], [test: 0.23910]
********************************************************************************
Finish: epoch: 22 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.05369, q = 1.25765], 
              Loss: [Test: p = 1.05735, q = 1.25988],
              Effect: [ate-q], [train: 0.23900], [test: 0.23899]
********************************************************************************
Finish: epoch: 23 / 500, time cost: 37.84 sec, 
              Loss: [Train: p = 1.05345, q = 1.25747], 
              Loss: [Test: p = 1.05719, q = 1.26013],
              Effect: [ate-q], [train: 0.23875], [test: 0.23874]
********************************************************************************
Finish: epoch: 24 / 500, time cost: 37.75 sec, 
              Loss: [Train: p = 1.05333, q = 1.25714], 
              Loss: [Test: p = 1.05707, q = 1.26028],
              Effect: [ate-q], [train: 0.23875], [test: 0.23874]
********************************************************************************
Finish: epoch: 25 / 500, time cost: 40.09 sec, 
              Loss: [Train: p = 1.05323, q = 1.25737], 
              Loss: [Test: p = 1.05693, q = 1.26014],
              Effect: [ate-q], [train: 0.23881], [test: 0.23879]
********************************************************************************
Finish: epoch: 26 / 500, time cost: 37.86 sec, 
              Loss: [Train: p = 1.05299, q = 1.25667], 
              Loss: [Test: p = 1.05680, q = 1.25980],
              Effect: [ate-q], [train: 0.23843], [test: 0.23842]
********************************************************************************
Finish: epoch: 27 / 500, time cost: 37.66 sec, 
              Loss: [Train: p = 1.05282, q = 1.25660], 
              Loss: [Test: p = 1.05665, q = 1.25979],
              Effect: [ate-q], [train: 0.23965], [test: 0.23963]
********************************************************************************
Finish: epoch: 28 / 500, time cost: 37.82 sec, 
              Loss: [Train: p = 1.05268, q = 1.25631], 
              Loss: [Test: p = 1.05650, q = 1.25947],
              Effect: [ate-q], [train: 0.23933], [test: 0.23931]
********************************************************************************
Finish: epoch: 29 / 500, time cost: 39.24 sec, 
              Loss: [Train: p = 1.05244, q = 1.25649], 
              Loss: [Test: p = 1.05635, q = 1.25946],
              Effect: [ate-q], [train: 0.23896], [test: 0.23894]
********************************************************************************
Finish: epoch: 30 / 500, time cost: 37.39 sec, 
              Loss: [Train: p = 1.05235, q = 1.25682], 
              Loss: [Test: p = 1.05620, q = 1.25899],
              Effect: [ate-q], [train: 0.23811], [test: 0.23808]
********************************************************************************
Finish: epoch: 31 / 500, time cost: 37.66 sec, 
              Loss: [Train: p = 1.05215, q = 1.25675], 
              Loss: [Test: p = 1.05606, q = 1.25947],
              Effect: [ate-q], [train: 0.23786], [test: 0.23783]
********************************************************************************
Finish: epoch: 32 / 500, time cost: 37.91 sec, 
              Loss: [Train: p = 1.05198, q = 1.25641], 
              Loss: [Test: p = 1.05587, q = 1.25910],
              Effect: [ate-q], [train: 0.23725], [test: 0.23722]
********************************************************************************
Finish: epoch: 33 / 500, time cost: 37.82 sec, 
              Loss: [Train: p = 1.05189, q = 1.25564], 
